Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
Epernay (World Capital Of Champagne) - Private Road Trip,no data provided,no data provided,£445,No data provided,Trip.com
Private Louvre Teens Tour with skip-the-line Tickets,no data provided,no data provided,£433,No data provided,Trip.com
Paris Photoshoot tour with private car,no data provided,no data provided,£485,No data provided,Trip.com
Fontainebleau Castle Half-Day Tour from Paris,no data provided,no data provided,£511,5 hours,Trip.com
Skip-the-Line Versailles Palace Family 5-hour Discovery from Paris,no data provided,no data provided,£514,No data provided,Trip.com
Fontainebleau Chateau Retreat from Paris,no data provided,no data provided,£518,4-5 hours,Trip.com
Private Paris City Tour with Minivan,no data provided,no data provided,£510,10 hours,Viator
Paris at Night by Private Car,no data provided,no data provided,£502,2-3 hours,Viator
LONDON : private city tour in a black Cab - 1 day-trip from PARIS,no data provided,no data provided,£553,16 hours,Viator
Moulin Rouge Show with Paris City Lights Private Tour,no data provided,no data provided,£543,3 hours,Viator
Private Tour in Fontainebleau Palace with Skip-The-Line Ticket,no data provided,no data provided,£587,5 hours,Viator
one day of shopping of the best wines in Burgundy (day-trip from PARIS),no data provided,no data provided,£557,14 hours,Viator
Dunkirk Private Day Trip with Visit of the Bunker La Coupole from Paris,no data provided,no data provided,£592,12 hours,Viator
"Day trip from Paris to Omaha Beach, American Cemetery - Private Tour (2/4 pax)",no data provided,no data provided,£595,13-14 hours,Viator
Loire Valley Castles Private 1-Day Tour from Paris by Train & Minivan,no data provided,no data provided,£596,10 hours,Viator
Follow the Footsteps of St. Teresa of LISIEUX in a 2-Day Private Trip from Paris,no data provided,no data provided,£548,2 days,Viator
3hrs Paris photoshoot for families and couples,no data provided,no data provided,£505,No data provided,Trip.com
120 Minute Private Vacation Photography Session with Local Photographer in Paris,no data provided,no data provided,£524,No data provided,Trip.com
Louvre Museum Premium Tour : 2-Hour Private Guided Tour ,no data provided,no data provided,£557,2 hours,Trip.com
Bruges Private Day Trip with Hotel Pick-Up from Paris,no data provided,no data provided,£650,12 hours,Viator
Beaujolais Wines 1-Day Private Tour from Paris,no data provided,no data provided,£635,10-12 hours,Viator
Private Full Day Tour to Loire Valley from Paris with Hotel Pick Up,no data provided,no data provided,£625,12 hours,Viator
Day trip from Paris to Sainte Mère Eglise aboard a Van - Private Tour (2/4 pax),no data provided,no data provided,£638,14 hours,Viator
"7-Day Guided Tour of Paris, Loire Castles, Mont Saint-Michel and 7 Attractions",no data provided,no data provided,£646,7 days,Viator
Normandy D-Day Beaches Private Day Trip with American Cemetery & Omaha Beach,no data provided,no data provided,£612,12 hours,Viator
Mont-Saint-Michel Private Day Trip in Luxury Vehicle from Paris,no data provided,no data provided,£599,13 hours,Viator
Private 8-hour city tour of Paris with driver and official guide - Hotel pick up,no data provided,no data provided,£637,8 hours,Viator
Private Giverny with Minivan,no data provided,no data provided,£535,4-5 hours,Viator
Private transfer of the Brussels Center <-> Paris Center MB E-CLASS 3 PAX,no data provided,no data provided,£600,3-4 hours,Viator
Private tour from Paris via Rennes to Mont Saint-Michel with driver-guide,no data provided,no data provided,£638,10 hours,Viator
Paris Louvre Museum 2-Hour Private Group Tour (Premium and Private),no data provided,no data provided,£552,2 hours,Viator
Day trip from Paris to Pointe du Hoc and Omaha beach - Private Tour (2/4 pax),no data provided,no data provided,£612,13-14 hours,Viator
Full Day Tour on Vintage Sidecar: Best Visit of Paris & Versailles,no data provided,no data provided,£604,7 hours,Viator
2-Day Burgundy — Alsace Small-group by Minivan from Paris with Wine tasting,no data provided,no data provided,£540,2 days,Viator
Louvre Museum Premium Tour : 2-Hour Private Guided Tour,no data provided,no data provided,£552,2 hours,Viator
Paris Louvre Museum 2-Hour Private Group Tour (Premium and Private),no data provided,no data provided,£557,2 hours,Trip.com
the Royal Tower to visit the Chateau De Versailles,no data provided,no data provided,£610,No data provided,Trip.com
Mont-Saint-Michel Private Day Trip in Luxury Vehicle from Paris,no data provided,no data provided,£603,13 hours,Trip.com
Private 12-hour round transfer to Loire Castles from Paris. Best offer!,no data provided,no data provided,£605,No data provided,Trip.com
Full Day Tour on Vintage Sidecar: Best Visit of Paris & Versailles,no data provided,no data provided,£615,7 hours,Trip.com
Deauville - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Palace Of Chambord - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Normandy Landing Beaches - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Versailles Palace Skip-the-Line Private & Customized Half Day Tour from Paris,no data provided,no data provided,£682,4 hours,Viator
Private 12-hour round transfer to Loire Castles from Paris. Best offer!,no data provided,no data provided,£600,12 hours,Viator
Etretat - Private Trip,no data provided,no data provided,£671,11 hours,Viator
"LOURDES Sanctuary: In the Life of St.Bernadette, Private Tour from Paris",no data provided,no data provided,£617,3 days,Viator
Brussels from Paris Private Tour,no data provided,no data provided,£680,12 hours,Viator
Majestic Highlights of Paris Private Tour,no data provided,no data provided,£685,7-8 hours,Viator
City Escape: Loire Valley Private Day Trip,no data provided,no data provided,£676,12 hours,Viator
Tours - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Private tour to Chateau de Chambord from Paris. Best offer!,no data provided,no data provided,£577,10 hours,Viator
"Visit Mont St. Michel from Paris by train, 1-Day private tour",no data provided,no data provided,£674,10 hours,Viator
"Private 12-hour round transfer to Normandy (Rouen,Honfleur,Deauville) from Paris",no data provided,no data provided,£600,12 hours,Viator
Private 12-Hour City Tour of Paris from London with roundtrip train tickets incl,no data provided,no data provided,£692,12 hours,Viator
2-day Loire Valley Castles Guided small-group trip by Minivan from Paris,no data provided,no data provided,£591,2 days,Viator
Roundtrip Private Paris Tour from CDG Airport or Disneyland Paris Hotel,no data provided,no data provided,£680,8 hours,Viator
Private 12-Hour Tour to Normandy landing beaches from Paris w/ Hotel Pick Up,no data provided,no data provided,£702,12 hours,Viator
Private 12-hour tour to Mt. Saint Michel from Paris Hotel with driver & guide,no data provided,no data provided,£595,12 hours,Viator
Honfleur - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Vineyards of Reims from Paris. Full-Day Private Champagne Tour with French Lunch,no data provided,no data provided,£622,10 hours,Trip.com
Dunkirk Private Day Trip with Visit of the Bunker La Coupole from Paris,no data provided,no data provided,£603,12 hours,Trip.com
"Private 12-hour round transfer to Normandy (Rouen,Honfleur,Deauville) from Paris",no data provided,no data provided,£605,No data provided,Trip.com
Private tour to Chateau de Chambord from Paris. Best offer!,no data provided,no data provided,£581,No data provided,Trip.com
"LOURDES Sanctuary: In the Life of St.Bernadette, Private Tour from Paris",no data provided,no data provided,£600,No data provided,Trip.com
Private tour from Paris via Rennes to Mont Saint-Michel with driver-guide,no data provided,no data provided,£649,No data provided,Trip.com
"Sainte Chapelle, Louvre & Tuk Tuk Ride Family Tour",no data provided,no data provided,£625,No data provided,Trip.com
Private Day Trip of Vendôme with Driver,no data provided,no data provided,£728,11 hours,Viator
Private Full Day to Le Mans from Paris,no data provided,no data provided,£728,11 hours,Viator
From Paris - Monet’s Giverny Village and Charming Gardens Private Tour,no data provided,no data provided,£707,4 hours,Viator
Private Expert Guide - Customized Itinerary,no data provided,no data provided,£632,1-4 hours,Trip.com
Day trip from Paris to Sainte Mère Eglise aboard a Van - Private Tour (2/4 pax),no data provided,no data provided,£642,No data provided,Trip.com
Half-Day Private Tour to Giverny from Paris,no data provided,no data provided,£622,5 hours,Trip.com
Palace Of Chambord - Private Trip,no data provided,no data provided,£679,No data provided,Trip.com
Tours - Private Trip,no data provided,no data provided,£677,No data provided,Trip.com
City Escape: Loire Valley Private Day Trip,no data provided,no data provided,£682,12 hours,Trip.com
Monet’s Giverny Village and Charming Gardens from Paris,no data provided,no data provided,£716,4 hours,Trip.com
Normandy Landing Beaches - Private Trip,no data provided,no data provided,£679,No data provided,Trip.com
Deauville - Private Trip,no data provided,no data provided,£680,No data provided,Trip.com
Giverny Monet's Garden and House. Private Tour by car.,no data provided,no data provided,£686,No data provided,Trip.com
Private 13-hour round transfer to abbey of Mont Saint Michel Normandy from Paris,no data provided,no data provided,£697,No data provided,Trip.com
Paris Private Day Tour & Seine Cruise for Kids and Families,no data provided,no data provided,£696,No data provided,Trip.com
Private 12-hour round transfer tour Belgium (Bruges) from Paris. Best offer!,no data provided,no data provided,£686,No data provided,Trip.com
"Private Normandy: Rouen, Honfleur, Etretat trip from Paris with Calvados tasting",no data provided,no data provided,£795,13 hours,Viator
Visit the Loire Valley Castles in 1-Day Tour from Paris by PRIVATE CAR,no data provided,no data provided,£675,10-12 hours,Viator
Visit Mont Saint Michel in 1-Day Tour From Paris in PRIVATE CAR,no data provided,no data provided,£778,8-10 hours,Viator
Private Mont Saint-Michel trip by Minivan from Paris with Calvados tasting,no data provided,no data provided,£808,14 hours,Viator
"Private, driver guide tour of Paris most celebrated monuments",no data provided,no data provided,£766,6 hours,Viator
Private 13-hour round transfer to abbey of Mont Saint Michel Normandy from Paris,no data provided,no data provided,£692,13 hours,Viator
Private 3 Loire Valley Castles Trip by Minivan from Paris with Wine tasting,no data provided,no data provided,£812,13 hours,Viator
The Best Private Tour of the Loire Valley - Three Castles in One Day!,no data provided,no data provided,£778,8 hours,Viator
Private 12-hour round transfer tour Belgium (Bruges) from Paris. Best offer!,no data provided,no data provided,£680,12 hours,Viator
Walk in the Footsteps of Vincent Van Gogh,no data provided,no data provided,£764,5 hours,Viator
Bourges - Private Trip,no data provided,no data provided,£671,11 hours,Viator
Fontainebleau private excursion,no data provided,no data provided,£778,6 hours,Viator
"8-Day Guided Tour of Paris, Mont Saint-Michel and 8 Attractions",no data provided,no data provided,£680,8 days,Viator
Castle Of Chenonceau - Private Trip,no data provided,no data provided,£677,No data provided,Trip.com
Bourges - Private Trip,no data provided,no data provided,£684,No data provided,Trip.com
Castle Of Chaumont-sur-Loire - Private Trip,no data provided,no data provided,£677,No data provided,Trip.com
Versailles Palace Skip-the-Line Private & Customized Half Day Tour from Paris,no data provided,no data provided,£688,4 hours,Trip.com
Exclusive Highlights of Paris,no data provided,no data provided,£697,7-8 hours,Trip.com
